Lab panel,Scoring data
Catecholaminergic polymorphic ventricular tachycardia,"[['Severe Paediatric Disorders', 0.5, 0.0007695267410542517, 0.00038476337052712584], ['Cardiac arrhythmias', 1.0, 0.18181818181818182, 0.18181818181818182], ['Long QT syndrome', 0.25, 0.1, 0.025], ['Catecholaminergic polymorphic VT', 1.0, 0.6666666666666666, 0.6666666666666666], ['Sudden cardiac death', 1.0, 0.041666666666666664, 0.041666666666666664], ['Idiopathic ventricular fibrillation', 0.25, 1.0, 0.25], ['Dilated cardiomyopathy - adult and teen', 0.25, 0.03125, 0.0078125], ['Cardiomyopathies - including childhood onset', 0.25, 0.007142857142857143, 0.0017857142857142857]]"
Central Hypoventilation Syndrome Congenital,"[['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['Familial dysautonomia', 1.0, 0.07142857142857142, 0.07142857142857142], ['Childhood solid tumours cancer susceptibility', 1.0, 0.013888888888888888, 0.013888888888888888], ['Sudden death in young people', 1.0, 0.3333333333333333, 0.3333333333333333], ['Familial Hirschsprung Disease', 1.0, 0.125, 0.125], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Tumour predisposition - childhood onset', 1.0, 0.0125, 0.0125]]"
Cerebral Cavernous Malformations,"[['Vascular skin disorders', 0.3333333333333333, 0.047619047619047616, 0.015873015873015872], ['Fetal anomalies', 0.6666666666666666, 0.002053388090349076, 0.0013689253935660506], ['Severe Paediatric Disorders', 0.6666666666666666, 0.0007695267410542517, 0.0005130178273695011], ['Cerebral vascular malformations', 1.0, 0.21428571428571427, 0.21428571428571427], ['Paediatric disorders', 0.6666666666666666, 0.0005104645227156713, 0.0003403096818104475], ['DDG2P', 0.6666666666666666, 0.0016764459346186086, 0.0011176306230790724]]"
Cerebral Malformations,"[['Intracerebral calcification disorders', 0.06666666666666667, 0.043478260869565216, 0.002898550724637681], ['Neuromuscular disorders', 0.06666666666666667, 0.003663003663003663, 0.0002442002442002442], ['Albinism or congenital nystagmus', 0.06666666666666667, 0.043478260869565216, 0.002898550724637681], ['Paediatric motor neuronopathies', 0.06666666666666667, 0.05, 0.0033333333333333335], ['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.4666666666666667, 0.025454545454545455, 0.01187878787878788], ['Fetal anomalies', 0.8666666666666667, 0.013347022587268994, 0.011567419575633129], ['Severe Paediatric Disorders', 1.0, 0.005771450557906887, 0.005771450557906887], ['White matter disorders - childhood onset', 0.9333333333333333, 0.006303466906798739, 0.005883235779678823], ['Hypotonic infant', 0.9333333333333333, 0.006635071090047393, 0.006192733017377567], ['Hereditary neuropathy', 0.13333333333333333, 0.012658227848101266, 0.0016877637130801688], ['Inherited white matter disorders', 0.13333333333333333, 0.017391304347826087, 0.002318840579710145], ['Genetic epilepsy syndromes', 0.8, 0.02823529411764706, 0.02258823529411765], ['Ataxia and cerebellar anomalies - narrow panel', 0.4666666666666667, 0.04487179487179487, 0.020940170940170942], ['Structural basal ganglia disorders', 0.13333333333333333, 0.03125, 0.004166666666666667], ['Paediatric disorders', 1.0, 0.0038284839203675345, 0.0038284839203675345], ['Cerebral malformations', 0.8, 0.14457831325301204, 0.11566265060240964], ['Arthrogryposis', 0.06666666666666667, 0.007575757575757576, 0.000505050505050505], ['Intellectual disability', 0.9333333333333333, 0.012291483757682178, 0.011472051507170034], ['Autism', 0.06666666666666667, 0.04, 0.0026666666666666666], ['Hereditary neuropathy NOT PMP22 copy number', 0.06666666666666667, 0.011363636363636364, 0.0007575757575757576], ['Disorders of sex development', 0.06666666666666667, 0.027777777777777776, 0.0018518518518518517], ['Severe microcephaly', 0.13333333333333333, 0.021052631578947368, 0.002807017543859649], ['DDG2P', 0.8, 0.010058675607711651, 0.00804694048616932], ['Congenital fibrosis of the extraocular muscles', 0.06666666666666667, 0.3333333333333333, 0.02222222222222222], ['Hereditary ataxia - adult onset', 0.4, 0.03225806451612903, 0.012903225806451613], ['Hereditary ataxia', 0.13333333333333333, 0.015037593984962405, 0.0020050125313283208], ['Malformations of cortical development', 0.8, 0.18181818181818182, 0.14545454545454548], ['Cerebellar hypoplasia', 0.4666666666666667, 0.16279069767441862, 0.07596899224806203], ['White matter disorders and cerebral calcification - narrow panel', 0.2, 0.022556390977443608, 0.004511278195488722], ['Childhood onset dystonia or chorea or related movement disorder', 0.06666666666666667, 0.006896551724137931, 0.0004597701149425287], ['Hydrocephalus', 0.06666666666666667, 0.014492753623188406, 0.000966183574879227]]"
Charcot Marie Tooth & Sensory Neuropathy,"[['Gene therapy clinical trials', 0.010526315789473684, 0.047619047619047616, 0.0005012531328320802], ['Neuromuscular disorders', 0.17894736842105263, 0.06227106227106227, 0.01114324272219009], ['Albinism or congenital nystagmus', 0.021052631578947368, 0.08695652173913043, 0.0018306636155606406], ['Chondrodysplasia punctata', 0.010526315789473684, 0.2, 0.002105263157894737], ['Lysosomal storage disorder', 0.010526315789473684, 0.02, 0.0002105263157894737], ['Vascular skin disorders', 0.021052631578947368, 0.09523809523809523, 0.0020050125313283208], ['Pain syndromes', 0.17894736842105263, 0.85, 0.15210526315789474], ['Mitochondrial DNA maintenance disorder', 0.05263157894736842, 0.22727272727272727, 0.011961722488038276], ['Paediatric motor neuronopathies', 0.09473684210526316, 0.45, 0.04263157894736842], ['Distal myopathies', 0.05263157894736842, 0.20833333333333334, 0.010964912280701754], ['Paroxysmal central nervous system disorders', 0.010526315789473684, 0.05, 0.0005263157894736842], ['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.08421052631578947, 0.02909090909090909, 0.002449760765550239], ['Retinal disorders', 0.042105263157894736, 0.01990049751243781, 0.0008379156847342236], ['Radial dysplasia', 0.010526315789473684, 0.020833333333333332, 0.00021929824561403506], ['Early onset dementia (encompassing fronto-temporal dementia and prion disease)', 0.031578947368421054, 0.10714285714285714, 0.0033834586466165413], ['Undiagnosed metabolic disorders', 0.2631578947368421, 0.03869969040247678, 0.010184129053283364], ['Lipodystrophy - childhood onset', 0.021052631578947368, 0.2, 0.004210526315789474], ['Congenital myopathy', 0.021052631578947368, 0.03278688524590164, 0.0006902502157031924], ['Fetal hydrops', 0.021052631578947368, 0.037037037037037035, 0.0007797270955165692], ['Fetal anomalies', 0.16842105263157894, 0.01642710472279261, 0.0027666702691019128], ['Gastrointestinal neuromuscular disorders', 0.042105263157894736, 0.26666666666666666, 0.011228070175438596], ['Brain cancer pertinent cancer susceptibility', 0.010526315789473684, 0.14285714285714285, 0.0015037593984962405], ['Skeletal dysplasia', 0.05263157894736842, 0.012953367875647668, 0.0006817562039814561], ['Severe Paediatric Disorders', 0.8315789473684211, 0.03039630627164294, 0.02527692837326097], ['Cataracts', 0.010526315789473684, 0.010101010101010102, 0.00010632642211589581], ['Familial dysautonomia', 0.10526315789473684, 0.7142857142857143, 0.07518796992481203], ['White matter disorders - childhood onset', 0.4421052631578947, 0.01891040072039622, 0.008360387686912012], ['Primary ovarian insufficiency', 0.010526315789473684, 0.045454545454545456, 0.0004784688995215311], ['Hyperammonaemia', 0.010526315789473684, 0.023809523809523808, 0.0002506265664160401], ['Familial breast cancer', 0.010526315789473684, 0.1, 0.0010526315789473684], ['Hypotonic infant', 0.5263157894736842, 0.023696682464454975, 0.012471938139186829], ['Epidermolysis bullosa and congenital skin fragility', 0.010526315789473684, 0.03225806451612903, 0.0003395585738539898], ['Possible mitochondrial disorder - nuclear genes', 0.15789473684210525, 0.07009345794392523, 0.011067388096409246], ['Primary immunodeficiency', 0.010526315789473684, 0.0038910505836575876, 4.095842719639566e-05], ['Rare anaemia', 0.010526315789473684, 0.012658227848101266, 0.00013324450366422385], ['Childhood solid tumours cancer susceptibility', 0.021052631578947368, 0.027777777777777776, 0.0005847953216374268], ['Familial Hirschsprung Disease', 0.010526315789473684, 0.125, 0.0013157894736842105], ['Amyotrophic lateral sclerosis/motor neuron disease', 0.06315789473684211, 0.2727272727272727, 0.01722488038277512], ['Groopman et al 2019 - Genes with diagnostic variants', 0.021052631578947368, 0.09523809523809523, 0.0020050125313283208], ['Hereditary neuropathy', 0.8842105263157894, 0.5316455696202531, 0.4700866089273817], ['Pigmentary skin disorders', 0.010526315789473684, 0.01, 0.00010526315789473685], ['Inherited white matter disorders', 0.042105263157894736, 0.034782608695652174, 0.0014645308924485126], ['Hereditary spastic paraplegia - childhood onset', 0.10526315789473684, 0.14285714285714285, 0.015037593984962405], ['Sudden cardiac death', 0.042105263157894736, 0.041666666666666664, 0.0017543859649122805], ['Adult solid tumours for rare disease', 0.010526315789473684, 0.017543859649122806, 0.00018467220683287164], ['Unexplained kidney failure in young people', 0.021052631578947368, 0.024096385542168676, 0.000507292327203551], ['Genetic epilepsy syndromes', 0.09473684210526316, 0.021176470588235293, 0.002006191950464396], ['Ataxia and cerebellar anomalies - narrow panel', 0.08421052631578947, 0.05128205128205128, 0.004318488529014845], ['Structural basal ganglia disorders', 0.021052631578947368, 0.03125, 0.0006578947368421052], ['Hereditary spastic paraplegia', 0.10526315789473684, 0.1388888888888889, 0.014619883040935672], ['Optic neuropathy', 0.031578947368421054, 0.14285714285714285, 0.004511278195488722], ['Cytopenias and congenital anaemias', 0.010526315789473684, 0.010309278350515464, 0.00010851871947911014], ['Peroxisomal disorders', 0.021052631578947368, 0.058823529411764705, 0.0012383900928792568], ['Paediatric disorders', 0.5263157894736842, 0.012761613067891782, 0.006716638456785148], ['Hypogonadotropic hypogonadism', 0.010526315789473684, 0.03225806451612903, 0.0003395585738539898], ['Cerebral malformations', 0.031578947368421054, 0.03614457831325301, 0.0011414077362079899], ['Structural eye disease', 0.010526315789473684, 0.008771929824561403, 9.233610341643582e-05], ['Familial cerebral small vessel disease', 0.010526315789473684, 0.08333333333333333, 0.0008771929824561403], ['Rhabdomyolysis and metabolic muscle disorders', 0.021052631578947368, 0.0425531914893617, 0.0008958566629339305], ['Arthrogryposis', 0.06315789473684211, 0.045454545454545456, 0.0028708133971291866], ['Thoracic aortic aneurysm and dissection', 0.010526315789473684, 0.03125, 0.0003289473684210526], ['Epidermolysis bullosa', 0.010526315789473684, 0.05263157894736842, 0.0005540166204986149], ['Intellectual disability', 0.25263157894736843, 0.021071115013169446, 0.005323229055958597], ['Hypertrophic cardiomyopathy - teen and adult', 0.021052631578947368, 0.09523809523809523, 0.0020050125313283208], ['Palmoplantar keratodermas', 0.021052631578947368, 0.03225806451612903, 0.0006791171477079796], ['ClinGen Gene Validity Curations', 0.021052631578947368, 0.07692307692307693, 0.001619433198380567], ['Unexplained paediatric onset end-stage renal disease', 0.021052631578947368, 0.011111111111111112, 0.00023391812865497077], ['Mitochondrial disorders', 0.15789473684210525, 0.05976095617529881, 0.009435940448731391], ['Dilated Cardiomyopathy and conduction defects', 0.021052631578947368, 0.05555555555555555, 0.0011695906432748536], ['Hearing loss', 0.042105263157894736, 0.034782608695652174, 0.0014645308924485126], ['White matter disorders - adult onset', 0.06315789473684211, 0.07894736842105263, 0.004986149584487534], ['Hereditary neuropathy NOT PMP22 copy number', 0.6947368421052632, 0.75, 0.5210526315789474], ['Parkinson Disease and Complex Parkinsonism', 0.010526315789473684, 0.022727272727272728, 0.00023923444976076556], ['Disorders of sex development', 0.010526315789473684, 0.027777777777777776, 0.0002923976608187134], ['Amyloidosis', 0.010526315789473684, 0.14285714285714285, 0.0015037593984962405], ['Haematological malignancies for rare disease', 0.010526315789473684, 0.012048192771084338, 0.00012682308180088776], ['Progressive cardiac conduction disease', 0.031578947368421054, 0.2727272727272727, 0.00861244019138756], ['Monogenic diabetes', 0.010526315789473684, 0.02857142857142857, 0.0003007518796992481], ['Pyruvate dehydrogenase (PDH) deficiency', 0.010526315789473684, 0.041666666666666664, 0.00043859649122807013], ['Mucopolysaccharideosis, Gaucher, Fabry', 0.010526315789473684, 0.058823529411764705, 0.0006191950464396284], ['Severe microcephaly', 0.010526315789473684, 0.010526315789473684, 0.00011080332409972299], ['Extreme early-onset hypertension', 0.010526315789473684, 0.07692307692307693, 0.0008097165991902835], ['Limb disorders', 0.021052631578947368, 0.014388489208633094, 0.0003029155622870125], ['DDG2P', 0.29473684210526313, 0.02347024308466052, 0.006917545330215731], ['Insulin resistance (including lipodystrophy)', 0.021052631578947368, 0.13333333333333333, 0.002807017543859649], ['Renal superpanel - narrow', 0.010526315789473684, 0.003134796238244514, 3.299785513941593e-05], ['Mitochondrial liver disease', 0.021052631578947368, 0.3333333333333333, 0.007017543859649122], ['Adult solid tumours cancer susceptibility', 0.010526315789473684, 0.012195121951219513, 0.00012836970474967908], ['Clefting', 0.010526315789473684, 0.006802721088435374, 7.160759040458288e-05], ['Periodic fever syndromes', 0.010526315789473684, 0.047619047619047616, 0.0005012531328320802], ['Haematological malignancies cancer susceptibility', 0.010526315789473684, 0.011764705882352941, 0.0001238390092879257], ['Tumour predisposition - childhood onset', 0.010526315789473684, 0.0125, 0.00013157894736842105], ['Arrhythmogenic cardiomyopathy', 0.010526315789473684, 0.09090909090909091, 0.0009569377990430622], ['Deafness and congenital structural abnormalities', 0.010526315789473684, 0.023255813953488372, 0.0002447980416156671], ['Kleine-Levin syndrome', 0.010526315789473684, 1.0, 0.010526315789473684], ['Neonatal cholestasis', 0.021052631578947368, 0.037037037037037035, 0.0007797270955165692], ['Dilated cardiomyopathy - adult and teen', 0.021052631578947368, 0.0625, 0.0013157894736842105], ['Congenital fibrosis of the extraocular muscles', 0.010526315789473684, 0.3333333333333333, 0.003508771929824561], ['Neurodegenerative disorders - adult onset', 0.09473684210526316, 0.08181818181818182, 0.007751196172248804], ['Proteinuric renal disease', 0.010526315789473684, 0.022727272727272728, 0.00023923444976076556], ['Renal superpanel - broad', 0.042105263157894736, 0.006622516556291391, 0.0002788428023701638], ['Hereditary ataxia - adult onset', 0.10526315789473684, 0.053763440860215055, 0.005659309564233163], ['COVID-19 research', 0.010526315789473684, 0.0021691973969631237, 2.2833656810138145e-05], ['Hereditary ataxia', 0.07368421052631578, 0.05263157894736842, 0.003878116343490304], ['Inborn errors of metabolism', 0.2631578947368421, 0.03581661891117478, 0.009425426029256521], ['Early onset dystonia', 0.021052631578947368, 0.03773584905660377, 0.0007944389275074479], ['Malformations of cortical development', 0.031578947368421054, 0.045454545454545456, 0.0014354066985645933], ['Cerebellar hypoplasia', 0.010526315789473684, 0.023255813953488372, 0.0002447980416156671], ['Familial diabetes', 0.021052631578947368, 0.04, 0.0008421052631578948], ['Limb girdle muscular dystrophy', 0.042105263157894736, 0.06779661016949153, 0.002854594112399643], ['Diabetes - neonatal onset', 0.010526315789473684, 0.034482758620689655, 0.0003629764065335753], ['White matter disorders and cerebral calcification - narrow panel', 0.042105263157894736, 0.03007518796992481, 0.001266323703996834], ['Congenital muscular dystrophy', 0.010526315789473684, 0.027777777777777776, 0.0002923976608187134], ['Childhood onset dystonia or chorea or related movement disorder', 0.05263157894736842, 0.034482758620689655, 0.0018148820326678765], ['Hereditary spastic paraplegia - adult onset', 0.10526315789473684, 0.12987012987012986, 0.013670539986329458], ['Cardiomyopathies - including childhood onset', 0.031578947368421054, 0.02142857142857143, 0.0006766917293233083], ['Ehlers Danlos syndromes', 0.021052631578947368, 0.0425531914893617, 0.0008958566629339305], ['Mitochondrial disorder with complex IV deficiency', 0.010526315789473684, 0.05555555555555555, 0.0005847953216374268], ['Diabetes with additional phenotypes suggestive of a monogenic aetiology', 0.021052631578947368, 0.045454545454545456, 0.0009569377990430622], ['Adult onset movement disorder', 0.042105263157894736, 0.05263157894736842, 0.0022160664819944596]]"
Charge syndrome,"['CHARGE syndrome', 1, 1, 1]"
Cholesterol biosynthesis defect,"[['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.5, 0.0036363636363636364, 0.0018181818181818182], ['Skeletal ciliopathies', 0.5, 0.03333333333333333, 0.016666666666666666], ['Undiagnosed metabolic disorders', 1.0, 0.0030959752321981426, 0.0030959752321981426], ['Fetal anomalies', 1.0, 0.002053388090349076, 0.002053388090349076], ['Skeletal dysplasia', 1.0, 0.0051813471502590676, 0.0051813471502590676], ['Severe Paediatric Disorders', 1.0, 0.0007695267410542517, 0.0007695267410542517], ['Cataracts', 0.5, 0.010101010101010102, 0.005050505050505051], ['White matter disorders - childhood onset', 1.0, 0.0009004952723998199, 0.0009004952723998199], ['Hypotonic infant', 1.0, 0.0009478672985781991, 0.0009478672985781991], ['Neurological ciliopathies', 0.5, 0.023255813953488372, 0.011627906976744186], ['Groopman et al 2019 - Genes with diagnostic variants', 0.5, 0.047619047619047616, 0.023809523809523808], ['CAKUT', 0.5, 0.018518518518518517, 0.009259259259259259], ['IUGR and IGF abnormalities', 0.5, 0.010526315789473684, 0.005263157894736842], ['Paediatric disorders', 1.0, 0.0005104645227156713, 0.0005104645227156713], ['Cystic renal disease', 0.5, 0.01020408163265306, 0.00510204081632653], ['Cerebral malformations', 0.5, 0.012048192771084338, 0.006024096385542169], ['Rare multisystem ciliopathy disorders', 0.5, 0.010869565217391304, 0.005434782608695652], ['Rare multisystem ciliopathy Super panel', 0.5, 0.0049504950495049506, 0.0024752475247524753], ['Arthrogryposis', 0.5, 0.007575757575757576, 0.003787878787878788], ['Intellectual disability', 1.0, 0.001755926251097454, 0.001755926251097454], ['Unexplained paediatric onset end-stage renal disease', 0.5, 0.005555555555555556, 0.002777777777777778], ['Disorders of sex development', 0.5, 0.027777777777777776, 0.013888888888888888], ['Severe microcephaly', 0.5, 0.010526315789473684, 0.005263157894736842], ['DDG2P', 1.0, 0.0016764459346186086, 0.0016764459346186086], ['Renal superpanel - narrow', 0.5, 0.003134796238244514, 0.001567398119122257], ['Clefting', 0.5, 0.006802721088435374, 0.003401360544217687], ['Renal ciliopathies', 0.5, 0.0136986301369863, 0.00684931506849315], ['Holoprosencephaly', 0.5, 0.09090909090909091, 0.045454545454545456], ['Renal superpanel - broad', 0.5, 0.0016556291390728477, 0.0008278145695364238], ['Inborn errors of metabolism', 1.0, 0.0028653295128939827, 0.0028653295128939827], ['Hydrocephalus', 0.5, 0.014492753623188406, 0.007246376811594203]]"
Chondrocalcinosis,"[['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Skeletal dysplasia', 1.0, 0.0025906735751295338, 0.0025906735751295338], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Osteopetrosis', 1.0, 0.05263157894736842, 0.05263157894736842]]"
Chondrodysplasia Punctata,"[['Chondrodysplasia punctata', 1.0, 1.0, 1.0], ['Retinal disorders', 0.2, 0.004975124378109453, 0.0009950248756218905], ['Undiagnosed metabolic disorders', 1.0, 0.007739938080495356, 0.007739938080495356], ['Fetal hydrops', 0.2, 0.018518518518518517, 0.003703703703703704], ['Fetal anomalies', 1.0, 0.00513347022587269, 0.00513347022587269], ['Skeletal dysplasia', 1.0, 0.012953367875647668, 0.012953367875647668], ['Severe Paediatric Disorders', 1.0, 0.001923816852635629, 0.001923816852635629], ['Cataracts', 0.6, 0.030303030303030304, 0.01818181818181818], ['White matter disorders - childhood onset', 1.0, 0.0022512381809995496, 0.0022512381809995496], ['Hypotonic infant', 1.0, 0.002369668246445498, 0.002369668246445498], ['Hereditary neuropathy', 0.2, 0.006329113924050633, 0.0012658227848101266], ['Pigmentary skin disorders', 0.2, 0.01, 0.002], ['Peroxisomal disorders', 1.0, 0.14705882352941177, 0.14705882352941177], ['Paediatric disorders', 1.0, 0.001276161306789178, 0.001276161306789178], ['Cerebral malformations', 0.2, 0.012048192771084338, 0.0024096385542168677], ['Arthrogryposis', 0.2, 0.007575757575757576, 0.0015151515151515154], ['Intellectual disability', 1.0, 0.004389815627743635, 0.004389815627743635], ['Palmoplantar keratodermas', 0.6, 0.04838709677419355, 0.029032258064516127], ['White matter disorders - adult onset', 0.2, 0.013157894736842105, 0.002631578947368421], ['Limb disorders', 0.4, 0.014388489208633094, 0.005755395683453238], ['DDG2P', 1.0, 0.004191114836546521, 0.004191114836546521], ['Clefting', 0.2, 0.006802721088435374, 0.001360544217687075], ['Inborn errors of metabolism', 1.0, 0.0071633237822349575, 0.0071633237822349575], ['Malformations of cortical development', 0.2, 0.015151515151515152, 0.0030303030303030307]]"
Choreoacanthocytosis,"[['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['Hereditary neuropathy', 1.0, 0.006329113924050633, 0.006329113924050633], ['Structural basal ganglia disorders', 1.0, 0.015625, 0.015625], ['Parkinson Disease and Complex Parkinsonism', 1.0, 0.022727272727272728, 0.022727272727272728], ['Neurodegenerative disorders - adult onset', 1.0, 0.00909090909090909, 0.00909090909090909], ['Early onset dystonia', 1.0, 0.018867924528301886, 0.018867924528301886], ['Childhood onset dystonia or chorea or related movement disorder', 1.0, 0.006896551724137931, 0.006896551724137931], ['Adult onset movement disorder', 1.0, 0.013157894736842105, 0.013157894736842105]]"
Chromosome breakage for growth retardation,"[['Additional findings health related - adult specific', 0.041666666666666664, 0.16666666666666666, 0.006944444444444444], ['Sarcoma cancer susceptibility', 0.041666666666666664, 0.16666666666666666, 0.006944444444444444], ['Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders', 0.041666666666666664, 0.05263157894736842, 0.0021929824561403508], ['Radial dysplasia', 0.5, 0.25, 0.125], ['Undiagnosed metabolic disorders', 0.041666666666666664, 0.0015479876160990713, 6.449948400412796e-05], ['Fetal anomalies', 0.9583333333333334, 0.023613963039014373, 0.022630047912388776], ['Skeletal dysplasia', 0.3333333333333333, 0.02072538860103627, 0.0069084628670120895], ['Non-syndromic familial congenital anorectal malformations', 0.08333333333333333, 0.18181818181818182, 0.015151515151515152], ['Severe Paediatric Disorders', 0.9583333333333334, 0.008849557522123894, 0.008480825958702065], ['Additional findings health related', 0.041666666666666664, 0.07692307692307693, 0.003205128205128205], ['White matter disorders - childhood onset', 0.2916666666666667, 0.0031517334533993696, 0.0009192555905748162], ['Craniosynostosis', 0.041666666666666664, 0.01818181818181818, 0.0007575757575757575], ['Familial breast cancer', 0.041666666666666664, 0.1, 0.004166666666666667], ['Hypotonic infant', 0.25, 0.002843601895734597, 0.0007109004739336493], ['Primary immunodeficiency', 0.125, 0.011673151750972763, 0.0014591439688715954], ['Additional findings health related - CNV analysis adult specific', 0.041666666666666664, 0.16666666666666666, 0.006944444444444444], ['Childhood solid tumours cancer susceptibility', 0.5, 0.16666666666666666, 0.08333333333333333], ['Pigmentary skin disorders', 0.5, 0.12, 0.06], ['Adult solid tumours for rare disease', 0.041666666666666664, 0.017543859649122806, 0.0007309941520467836], ['Confirmed Fanconi anaemia or Bloom syndrome', 0.5, 0.6666666666666666, 0.3333333333333333], ['Cutaneous photosensitivity with a likely genetic cause', 0.041666666666666664, 0.09090909090909091, 0.003787878787878788], ['Familial rhabdomyosarcoma', 0.041666666666666664, 0.09090909090909091, 0.003787878787878788], ['Congenital adrenal hypoplasia', 0.041666666666666664, 0.07692307692307693, 0.003205128205128205], ['Neurofibromatosis Type 1', 0.4166666666666667, 0.4, 0.16666666666666669], ['IUGR and IGF abnormalities', 0.7916666666666666, 0.2, 0.15833333333333333], ['Sarcoma susceptibility', 0.041666666666666664, 0.125, 0.005208333333333333], ['Cytopenias and congenital anaemias', 0.4583333333333333, 0.1134020618556701, 0.051975945017182126], ['Peroxisomal disorders', 0.041666666666666664, 0.029411764705882353, 0.0012254901960784314], ['Ovarian cancer pertinent cancer susceptibility', 0.041666666666666664, 0.125, 0.005208333333333333], ['Paediatric disorders', 0.9583333333333334, 0.00587034201123022, 0.0056257444274289605], ['Growth failure in early childhood', 0.625, 0.3125, 0.1953125], ['Familial prostate cancer', 0.041666666666666664, 1.0, 0.041666666666666664], ['Additional findings health related - adults', 0.041666666666666664, 0.07692307692307693, 0.003205128205128205], ['Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome', 0.041666666666666664, 0.07692307692307693, 0.003205128205128205], ['Intellectual disability', 0.20833333333333334, 0.004389815627743635, 0.0009145449224465907], ['Additional findings health related - CNV analysis adults', 0.041666666666666664, 0.1, 0.004166666666666667], ['Disorders of sex development', 0.041666666666666664, 0.027777777777777776, 0.0011574074074074073], ['Haematological malignancies for rare disease', 0.5416666666666666, 0.1566265060240964, 0.08483935742971888], ['Severe microcephaly', 0.75, 0.18947368421052632, 0.14210526315789473], ['Limb disorders', 0.5416666666666666, 0.09352517985611511, 0.05065947242206235], ['Head and neck cancer pertinent cancer susceptibility', 0.375, 0.8181818181818182, 0.3068181818181818], ['DDG2P', 0.9583333333333334, 0.019279128248113998, 0.018475831237775915], ['Insulin resistance (including lipodystrophy)', 0.08333333333333333, 0.13333333333333333, 0.01111111111111111], ['Prostate cancer pertinent cancer susceptibility', 0.041666666666666664, 0.2, 0.008333333333333333], ['Inherited pancreatic cancer', 0.041666666666666664, 0.3333333333333333, 0.013888888888888888], ['Adult solid tumours cancer susceptibility', 0.4166666666666667, 0.12195121951219512, 0.0508130081300813], ['Clefting', 0.08333333333333333, 0.013605442176870748, 0.0011337868480725622], ['Haematological malignancies cancer susceptibility', 0.5416666666666666, 0.15294117647058825, 0.08284313725490196], ['Tumour predisposition - childhood onset', 0.625, 0.1875, 0.1171875], ['Deafness and congenital structural abnormalities', 0.20833333333333334, 0.11627906976744186, 0.02422480620155039], ['Inherited ovarian cancer (without breast cancer)', 0.041666666666666664, 0.125, 0.005208333333333333], ['VACTERL-like phenotypes', 0.041666666666666664, 0.0625, 0.0026041666666666665], ['COVID-19 research', 0.625, 0.03253796095444685, 0.020336225596529284], ['Inborn errors of metabolism', 0.041666666666666664, 0.0014326647564469914, 5.969436485195797e-05], ['Breast cancer pertinent cancer susceptibility', 0.041666666666666664, 0.2, 0.008333333333333333], ['White matter disorders and cerebral calcification - narrow panel', 0.041666666666666664, 0.007518796992481203, 0.0003132832080200501], ['Segmental overgrowth disorders', 0.041666666666666664, 0.125, 0.005208333333333333], ['Infantile enterocolitis & monogenic inflammatory bowel disease', 0.041666666666666664, 0.0196078431372549, 0.0008169934640522875], ['Hydrocephalus', 0.041666666666666664, 0.014492753623188406, 0.0006038647342995169]]"
